epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,730.582,0.28857,0.92918,0.99924,0.9288,0.86984,0.96772,0.92386,0.43162,0.53677,0.65244,0.0005941,0.0005941,0.0005941
43,747.031,0.28469,0.90775,0.99645,0.93882,0.86486,0.96857,0.92049,0.43098,0.59288,0.718,0.0005842,0.0005842,0.0005842
44,763.455,0.28819,0.88944,0.99713,0.79022,0.8561,0.89464,0.85119,0.56715,0.91128,0.82767,0.0005743,0.0005743,0.0005743
45,779.884,0.28952,0.90503,0.999,0.9097,0.92115,0.97767,0.9339,0.42087,0.57382,0.64741,0.0005644,0.0005644,0.0005644
46,796.279,0.27236,0.8906,0.98698,0.97115,0.85737,0.97402,0.93062,0.30257,0.47453,0.57392,0.0005545,0.0005545,0.0005545
47,812.774,0.27887,0.89432,0.99888,0.96287,0.85764,0.9636,0.92441,0.34562,0.45368,0.58678,0.0005446,0.0005446,0.0005446
48,829.218,0.26991,0.88715,0.99231,0.90834,0.9144,0.97272,0.92892,0.34812,0.44059,0.62722,0.0005347,0.0005347,0.0005347
49,845.68,0.26491,0.87076,0.9808,0.87604,0.94863,0.97512,0.9258,0.46057,0.53894,0.70743,0.0005248,0.0005248,0.0005248
50,862.115,0.25214,0.87643,0.97597,0.97043,0.90061,0.97274,0.92524,0.29419,0.48481,0.60395,0.0005149,0.0005149,0.0005149
51,878.53,0.28126,0.90128,0.99679,0.94903,0.87309,0.9632,0.92328,0.35535,0.48625,0.59271,0.000505,0.000505,0.000505
52,894.97,0.2608,0.88118,0.98185,0.95294,0.88238,0.97489,0.92501,0.32621,0.49261,0.61312,0.0004951,0.0004951,0.0004951
53,911.293,0.25533,0.89125,0.9883,0.95858,0.86836,0.97255,0.92427,0.34201,0.44687,0.60197,0.0004852,0.0004852,0.0004852
54,927.716,0.26803,0.87899,0.99003,0.93657,0.89757,0.9744,0.93413,0.34315,0.42968,0.60047,0.0004753,0.0004753,0.0004753
55,944.083,0.26158,0.84943,0.97884,0.93839,0.90893,0.97482,0.93628,0.31833,0.46755,0.57912,0.0004654,0.0004654,0.0004654
56,960.554,0.25799,0.86105,0.97805,0.91047,0.92288,0.97575,0.93519,0.23946,0.42186,0.56755,0.0004555,0.0004555,0.0004555
57,977.011,0.24479,0.84581,0.97354,0.9148,0.93368,0.9775,0.93768,0.35267,0.49633,0.60028,0.0004456,0.0004456,0.0004456
58,993.419,0.24803,0.88023,0.97795,0.89956,0.94364,0.9765,0.94292,0.26911,0.48955,0.56063,0.0004357,0.0004357,0.0004357
59,1009.87,0.24745,0.84642,0.97095,0.91196,0.92001,0.9762,0.93271,0.33444,0.52136,0.60798,0.0004258,0.0004258,0.0004258
60,1026.27,0.23893,0.83559,0.96311,0.87679,0.94998,0.97617,0.93672,0.30669,0.42594,0.61001,0.0004159,0.0004159,0.0004159
61,1042.64,0.24185,0.86243,0.97515,0.95435,0.88395,0.97117,0.92323,0.37722,0.48976,0.63455,0.000406,0.000406,0.000406
62,1059.03,0.25334,0.82676,0.98416,0.87346,0.95054,0.97423,0.93046,0.32773,0.51369,0.59424,0.0003961,0.0003961,0.0003961
63,1075.43,0.24527,0.8358,0.96647,0.90816,0.95282,0.97877,0.93334,0.32897,0.46986,0.59145,0.0003862,0.0003862,0.0003862
64,1091.84,0.25226,0.85043,0.97836,0.91463,0.9453,0.97932,0.92801,0.35596,0.48476,0.62155,0.0003763,0.0003763,0.0003763
65,1108.26,0.245,0.8446,0.97654,0.91227,0.93798,0.97992,0.93947,0.30703,0.4495,0.57273,0.0003664,0.0003664,0.0003664
66,1124.68,0.23432,0.82281,0.96095,0.91561,0.92861,0.97937,0.93602,0.34299,0.41973,0.6024,0.0003565,0.0003565,0.0003565
67,1141.14,0.22646,0.81611,0.96154,0.93167,0.89472,0.97413,0.93292,0.36606,0.46098,0.64329,0.0003466,0.0003466,0.0003466
68,1157.6,0.24209,0.84096,0.97792,0.96446,0.87108,0.97353,0.93425,0.29394,0.40359,0.58437,0.0003367,0.0003367,0.0003367
69,1174.02,0.23231,0.83924,0.96386,0.96,0.87795,0.97454,0.93482,0.3072,0.47988,0.59408,0.0003268,0.0003268,0.0003268
70,1190.46,0.23204,0.80568,0.96634,0.92165,0.94756,0.98297,0.94552,0.3105,0.4611,0.58266,0.0003169,0.0003169,0.0003169
71,1206.87,0.2168,0.791,0.95745,0.94412,0.8912,0.97429,0.93612,0.28452,0.42764,0.55044,0.000307,0.000307,0.000307
72,1223.29,0.21126,0.82921,0.95653,0.92154,0.88875,0.95752,0.91682,0.37686,0.50529,0.62058,0.0002971,0.0002971,0.0002971
73,1239.7,0.23211,0.80866,0.97077,0.93146,0.91534,0.98053,0.9437,0.32584,0.39272,0.58809,0.0002872,0.0002872,0.0002872
74,1256.1,0.22594,0.8002,0.96286,0.88542,0.95165,0.97865,0.94515,0.26384,0.42121,0.56699,0.0002773,0.0002773,0.0002773
75,1272.48,0.23005,0.80997,0.97078,0.96294,0.8781,0.97726,0.94424,0.26937,0.39316,0.56932,0.0002674,0.0002674,0.0002674
76,1288.89,0.21524,0.78797,0.961,0.90202,0.94649,0.97611,0.93929,0.29055,0.37325,0.5674,0.0002575,0.0002575,0.0002575
77,1305.27,0.21676,0.79575,0.95403,0.90463,0.93711,0.97578,0.94483,0.29289,0.44694,0.54201,0.0002476,0.0002476,0.0002476
78,1321.7,0.22031,0.80778,0.96409,0.9546,0.873,0.9745,0.94366,0.29959,0.45921,0.55991,0.0002377,0.0002377,0.0002377
