epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3322.11,0.83614,0.79659,1.31005,0.99322,0.9925,0.99495,0.88752,0.51327,0.2529,1.04511,0.008614,0.008614,0.008614
44,3399.03,0.83164,0.78904,1.31067,0.98895,0.9944,0.99483,0.89199,0.49919,0.25786,1.04288,0.008581,0.008581,0.008581
45,3475.88,0.80763,0.76359,1.29054,0.99321,0.99552,0.99389,0.88903,0.50013,0.23734,1.0472,0.008548,0.008548,0.008548
46,3552.71,0.82186,0.77274,1.30187,0.98336,0.98823,0.99386,0.88818,0.50611,0.27674,1.04411,0.008515,0.008515,0.008515
47,3629.57,0.8007,0.74451,1.28939,0.99651,0.99798,0.995,0.88388,0.52346,0.24709,1.05144,0.008482,0.008482,0.008482
48,3706.43,0.8095,0.76119,1.29181,0.9978,0.9969,0.995,0.89181,0.50571,0.23549,1.05374,0.008449,0.008449,0.008449
49,3783.26,0.81183,0.75671,1.28891,0.99474,0.99707,0.995,0.90009,0.49212,0.23409,1.05133,0.008416,0.008416,0.008416
50,3860.01,0.80335,0.74174,1.28714,0.99738,0.9953,0.99496,0.89135,0.49426,0.25109,1.03481,0.008383,0.008383,0.008383
51,3936.84,0.78919,0.73662,1.28115,0.98661,0.99691,0.99493,0.89208,0.5004,0.24778,1.03549,0.00835,0.00835,0.00835
52,4013.8,0.7995,0.73201,1.28607,0.99775,0.9939,0.995,0.8988,0.49019,0.23807,1.03188,0.008317,0.008317,0.008317
53,4090.59,0.79195,0.72121,1.27718,0.99413,0.98996,0.995,0.8827,0.53188,0.26163,1.03868,0.008284,0.008284,0.008284
54,4167.31,0.77738,0.70989,1.26931,0.98559,0.99329,0.9943,0.89248,0.50077,0.27259,1.03169,0.008251,0.008251,0.008251
55,4244.49,0.79944,0.73133,1.28673,0.99737,0.99814,0.995,0.89569,0.49465,0.2267,1.02312,0.008218,0.008218,0.008218
56,4321.58,0.77576,0.72714,1.26674,0.99503,0.99762,0.99489,0.88464,0.52272,0.24297,1.05125,0.008185,0.008185,0.008185
57,4398.36,0.78242,0.71165,1.26876,0.99718,0.99891,0.995,0.88879,0.52906,0.23844,1.05401,0.008152,0.008152,0.008152
